Name,Import
Accessible-height toilet,"import { PiToilet } from 'react-icons/pi';"
Disabled parking spot,"import { PiToilet } from 'react-icons/pi';"
Grab-rails for shower and toilet,"import { MdDragHandle } from 'react-icons/md';"
Grab-rails in toilet,"import { MdDragHandle } from 'react-icons/md';"
Path to entrance lit at night,"import { MdWbTwilight } from 'react-icons/md';"
Roll-in shower with shower bench or chair,"import { PiChairLight from 'react-icons/pi';"
Shower bench,"import { PiChairLight } from 'react-icons/pi';"
Shower chair,"import { PiChairLight } from 'react-icons/pi';"
Single level home,"import { LiaLevelUpAltSolid } from 'react-icons/lia';"
Step-free access,"import { IoFootstepsOutline } from 'react-icons/io5';"
Tub with shower bench,"import { PiChairLight } from 'react-icons/pi';"
Wheelchair accessible,"import { PiWheelchair } from 'react-icons/pi';"
Wide clearance to bed,"import { IoBedOutline } from 'react-icons/io5';"
Wide clearance to shower and toilet,"import { TbViewportWide } from 'react-icons/tb';"
Wide doorway,"import { TbViewportWide } from 'react-icons/tb';"
Wide hallway clearance,"import { TbViewportWide } from 'react-icons/tb';"
Body soap,"import { FaSoap } from 'react-icons/fa';"
Cleaning products,"import { GiSoapExperiment } from 'react-icons/gi';"
Conditioner,"import { PiHandSoapBold } from 'react-icons/pi';"
Hot water,"import { IoWaterOutline } from 'react-icons/io5';"
Shampoo,"import { PiHandSoapBold } from 'react-icons/pi';"
Shower gel,"import { PiHandSoapBold } from 'react-icons/pi';"
Towels provided,"import { MdOutlineDryCleaning } from 'react-icons/md';"
Clothing storage,"import { BiCloset } from 'react-icons/bi';"
Coin Laundry,"import { MdOutlineLocalLaundryService } from 'react-icons/md';"
Dryer in common space,"import { MdOutlineLocalLaundryService } from 'react-icons/md';"
Mosquito net,"import { MdOutlineTexture } from 'react-icons/md';"
Washer in common space,"import { MdOutlineLocalLaundryService } from 'react-icons/md';"
Dvd player,"import { IoTvOutline } from 'react-icons/io5';"
Foosball table,"import { IoIosFootball } from 'react-icons/io';"
Game room,"import { PiGameController } from 'react-icons/pi';"
Piano,"import { VscPiano } from 'react-icons/vsc';"
Ping pong table,"import { PiPingPongLight } from 'react-icons/pi';"
Pool table,"import { GiPoolTableCorner } from 'react-icons/gi';"
Sound system,"import { GiSoundWaves } from 'react-icons/gi';"
Baby bath,"import { PiBaby } from 'react-icons/pi';"
Baby monitor,"import { PiBaby } from 'react-icons/pi';"
Babysitter recommendations,"import { PiBaby } from 'react-icons/pi';"
Bathtub,"import { PiBathtub } from 'react-icons/pi';"
Board games,"import { FaChessBoard } from 'react-icons/fa';"
Changing table,"import { MdOutlineBabyChangingStation } from 'react-icons/md';"
Children’s books and toys,"import { IoBookOutline } from 'react-icons/io5';"
Children’s dinnerware,"import { FaChildReaching } from 'react-icons/fa6';"
Crib,"import { MdOutlineCrib } from 'react-icons/md';"
Family/kid friendly,"import { FaChildReaching } from 'react-icons/fa6';"
Fireplace guards,"import { GiFireplace } from 'react-icons/gi';"
Game console,"import { GiConsoleController } from 'react-icons/gi';"
High chair,"import { TbChairDirector } from 'react-icons/tb';"
Outlet covers,"import { TbOutlet } from 'react-icons/tb';"
Pack ’n Play/travel crib,"import { MdOutlineCrib } from 'react-icons/md';"
Room-darkening shades,"import { MdOutlineRollerShadesClosed } from 'react-icons/md';"
Stair gates,"import { AiOutlineGateway } from 'react-icons/ai';"
Table corner guards,"import { MdRoundedCorner } from 'react-icons/md';"
Window guards,"import { MdRoundedCorner } from 'react-icons/md';"
Portable fans,"import { PiFanLight } from 'react-icons/pi';"
Carbon monoxide detector,"import { MdAddAlarm } from 'react-icons/md';"
Emergency exit,"import { IoMdExit } from 'react-icons/io';"
Fire extinguisher,"import { PiFireExtinguisher } from 'react-icons/pi';"
First aid kit,"import { BiFirstAid } from 'react-icons/bi';"
Smoke detector,"import { MdAddAlarm } from 'react-icons/md';"
Baking sheet,"import { MdOutlineBakeryDining } from 'react-icons/md';"
Barbeque utensils,"import { LuUtensils } from 'react-icons/lu';"
Blender,"import { MdOutlineBlender } from 'react-icons/md';"
Breakfast,"import { MdOutlineFreeBreakfast } from 'react-icons/md';"
Coffee,"import { LuCoffee } from 'react-icons/lu';"
Coffee maker,"import { MdOutlineCoffeeMaker } from 'react-icons/md';"
Cookware,"import { PiCookingPot } from 'react-icons/pi';"
Dining table,"import { PiPicnicTableLight } from 'react-icons/pi';"
Dishes and silverware,"import { LiaUtensilsSolid } from 'react-icons/lia';"
Dishwasher,"import { BiSolidWasher } from 'react-icons/bi';"
Freezer,"import { TbFreezeRowColumn } from 'react-icons/tb';"
Ice maker,"import { CiVoicemail } from 'react-icons/ci';"
Kettle,"import { GiCoffeePot } from 'react-icons/gi';"
Microwave,"import { LuMicrowave } from 'react-icons/lu';"
Mini fridge,"import { BiFridge } from 'react-icons/bi';"
Oven,"import { PiOven } from 'react-icons/pi';"
Refrigerator,"import { RiFridgeLine } from 'react-icons/ri';"
Rice maker,"import { FaBowlRice } from 'react-icons/fa6';"
Stove,"import { PiOven } from 'react-icons/pi';"
Toaster,"import { GrToast } from 'react-icons/gr';"
Trash compactor,"import { FaRegTrashAlt } from 'react-icons/fa';"
Wine glasses,"import { PiWineDuotone } from 'react-icons/pi';"
Beach,"import { FaUmbrellaBeach } from 'react-icons/fa6';"
Beach Front,"import { FaUmbrellaBeach } from 'react-icons/fa6';"
Beach View,"import { FaWater } from 'react-icons/fa';"
Beach access,"import { FaUmbrellaBeach } from 'react-icons/fa6';"
City View,"import { GiModernCity } from 'react-icons/gi';"
